'آدم تو آفتابه پپسی بخوره، خیط نشه','_tkph_00000d55__'
'آشغال کله','_tkph_00000d56__'
'آمپر چسبوندن','_tkph_00000d59__'
'آنتی حال زدن','_tkph_00000d5a__'
'آرنولد فشرده','_tkph_00000d5b__'
'آینه ی بغل اتوبوس','_tkph_00000d5c__'
'ابوالحسن نجفی','_tkph_00000d5d__'
'ارایه دادن','_tkph_00000d5e__'
'اسگل کردن','_tkph_00000d5f__'
'اِندِ مرام بازی','_tkph_00000d5g__'
'اوپدیس کردن','_tkph_00000d5h__'
'اوپدیس بازی کردن','_tkph_00000d5i__'
'با دنده سنگین رفتن','_tkph_00000d5j__'
'برو بکس یا فقط بکس','_tkph_00000d5k__'
'پارس خود رو','_tkph_00000d5l__'
'پایه بودن','_tkph_00000d5m__'
'پسته خانم','_tkph_00000d5n__'
'تو سایت کسی رفتن','_tkph_00000d5p__'
'تو کار کسی بودن','_tkph_00000d5q__'
'تو کف چیزی بودن','_tkph_00000d5r__'
'تو کف کسی بودن','_tkph_00000d5s__'
'تیکه انداختن','_tkph_00000d5t__'
'جنده ی دولتی','_tkph_00000d5u__'
'جوات مخفی','_tkph_00000d5v__'
'جیب ملا','_tkph_00000d5w__'
'چپو کردن','_tkph_00000d5x__'
'حسین صاف کار','_tkph_00000d5z__'
'خار داشتن','_tkph_00000d5A__'
'خر به خراسان بردن','_tkph_00000d5C__'
'خز و پیل','_tkph_00000d5E__'
'خط خطی بودن','_tkph_00000d5F__'
'خفن بازار','_tkph_00000d5G__'
'خلافی داشتن','_tkph_00000d5H__'
'داف بازی','_tkph_00000d5I__'
'درایوری رانندگی کردن','_tkph_00000d5J__'
'درد کشیده طبیبه','_tkph_00000d5K__'
'دو دره','_tkph_00000d5L__'
'دور سه فرمان','_tkph_00000d5M__'
'دهن کسی کف کردن','_tkph_00000d5O__'
'راه دادن','_tkph_00000d5P__'
'رَ دَ دَ','_tkph_00000d5Q__'
'رفیق دُنگ','_tkph_00000d5R__'
'روی آنتن رفتن','_tkph_00000d5S__'
'ریلیف کردن','_tkph_00000d5T__'
'زاب چک','_tkph_00000d5U__'
'زیب چک','_tkph_00000d5V__'
'زارت زرت','_tkph_00000d5Y__'
'ز ذ','_tkph_00000d60__'
'ساختن خود','_tkph_00000d63__'
'سازمان سنجش','_tkph_00000d64__'
'سازمان گوشت','_tkph_00000d65__'
'سفره الفقرا','_tkph_00000d66__'
'سکه رایج بلاد اسلامی','_tkph_00000d67__'
'سوار درخت انگور','_tkph_00000d68__'
'سوپر قلعه','_tkph_00000d69__'
'سوسک کردن کسی','_tkph_00000d6a__'
'سوپر کالی‌ فرا جلیس تیک ِ اِکس پیا ل ِ دوشِز','_tkph_00000d6b__'
'سوتی دادن','_tkph_00000d6c__'
'سوراخ جورابتیم','_tkph_00000d6d__'
'سه دروغ بزرگ','_tkph_00000d6e__'
'سیامک سنجرانی','_tkph_00000d6f__'
'سیم های کسی قاطی کردن','_tkph_00000d6h__'
'شوخی افغانی','_tkph_00000d6l__'
'صاف شدن','_tkph_00000d6n__'
'ضد حال','_tkph_00000d6o__'
'ضد حال زدن','_tkph_00000d6p__'
'عمرنات پتاسیم','_tkph_00000d6r__'
'فر دادن','_tkph_00000d6u__'
'فر خوردن','_tkph_00000d6v__'
'فک کسی به زمین خوردن','_tkph_00000d6w__'
'فلفل سبز','_tkph_00000d6x__'
'فنچ فنچول','_tkph_00000d6y__'
'قات زدن','_tkph_00000d6z__'
'قُزل قورت','_tkph_00000d6A__'
'قه ثانیه','_tkph_00000d6C__'
'کره کردن','_tkph_00000d6G__'
'کف کسی بریدن','_tkph_00000d6H__'
'کف دستش مثل کون بچه صافه','_tkph_00000d6I__'
'کف و خون بالا آوردن','_tkph_00000d6J__'
'کلان از کلانتر','_tkph_00000d6K__'
'گوجه زدن','_tkph_00000d6N__'
'گوشت کوب','_tkph_00000d6O__'
'لاو انداختن','_tkph_00000d6Q__'
'لایی کشیدن','_tkph_00000d6R__'
'مال دوره ی گروهبان یکی هیتلر','_tkph_00000d6T__'
'ماهی شو برو','_tkph_00000d6V__'
'مخ زدن','_tkph_00000d6W__'
'مخ گایی','_tkph_00000d6X__'
'مگسی شدن','_tkph_00000d6Y__'
'ملی شدن','_tkph_00000d6Z__'
'مماس بودن','_tkph_00000d70__'
'مُهرمون هم خرابه','_tkph_00000d71__'
'میخ شدن','_tkph_00000d72__'
'میرزا مقوا','_tkph_00000d73__'
'نا فرم','_tkph_00000d74__'
'نبشی دادن','_tkph_00000d75__'
'نک و نال','_tkph_00000d76__'
'نمره ی شهرستان','_tkph_00000d77__'
'نمور نموره','_tkph_00000d78__'
'هندونه گذاشتن','_tkph_00000d7a__'
